2025-09-03 20:46:56.289 |  INFO | 12320 |            main | com.example.elkdemo.ElKdemoApplication  :55   | Starting ElKdemoApplication using Java 17.0.9 on X with PID 12320 (E:\Java\ELKdemo\target\classes started by 14665 in E:\Java\ELKdemo)
2025-09-03 20:46:56.290 |  INFO | 12320 |            main | com.example.elkdemo.ElKdemoApplication  :632  | No active profile set, falling back to 1 default profile: "default"
2025-09-03 20:46:56.603 |  INFO | 12320 |            main | o.s.b.w.embedded.tomcat.TomcatWebServer :108  | Tomcat initialized with port(s): 8080 (http)
2025-09-03 20:46:56.607 |  INFO | 12320 |            main | o.a.coyote.http11.Http11NioProtocol     :173  | Initializing ProtocolHandler ["http-nio-8080"]
2025-09-03 20:46:56.609 |  INFO | 12320 |            main | o.apache.catalina.core.StandardService  :173  | Starting service [Tomcat]
2025-09-03 20:46:56.609 |  INFO | 12320 |            main | org.apache.catalina.core.StandardEngine :173  | Starting Servlet engine: [Apache Tomcat/9.0.83]
2025-09-03 20:46:56.647 |  INFO | 12320 |            main | o.a.c.c.C.[Tomcat].[localhost].[/]      :173  | Initializing Spring embedded WebApplicationContext
2025-09-03 20:46:56.648 |  INFO | 12320 |            main | w.s.c.ServletWebServerApplicationContext:292  | Root WebApplicationContext: initialization completed in 337 ms
2025-09-03 20:46:56.773 |  INFO | 12320 |            main | o.a.coyote.http11.Http11NioProtocol     :173  | Starting ProtocolHandler ["http-nio-8080"]
2025-09-03 20:46:56.781 |  INFO | 12320 |            main | o.s.b.w.embedded.tomcat.TomcatWebServer :220  | Tomcat started on port(s): 8080 (http) with context path ''
2025-09-03 20:46:56.786 |  INFO | 12320 |            main | com.example.elkdemo.ElKdemoApplication  :61   | Started ElKdemoApplication in 0.68 seconds (JVM running for 0.887)
09-03 20:47:26.144 |  INFO | 16520 |            main | com.example.elkdemo.ElKdemoApplication  :55   | Starting ElKdemoApplication using Java 17.0.9 on X with PID 16520 (E:\Java\ELKdemo\target\classes started by 14665 in E:\Java\ELKdemo)
09-03 20:47:26.145 |  INFO | 16520 |            main | com.example.elkdemo.ElKdemoApplication  :632  | No active profile set, falling back to 1 default profile: "default"
09-03 20:47:26.452 |  INFO | 16520 |            main | o.s.b.w.embedded.tomcat.TomcatWebServer :108  | Tomcat initialized with port(s): 8080 (http)
09-03 20:47:26.455 |  INFO | 16520 |            main | o.a.coyote.http11.Http11NioProtocol     :173  | Initializing ProtocolHandler ["http-nio-8080"]
09-03 20:47:26.455 |  INFO | 16520 |            main | o.apache.catalina.core.StandardService  :173  | Starting service [Tomcat]
09-03 20:47:26.456 |  INFO | 16520 |            main | org.apache.catalina.core.StandardEngine :173  | Starting Servlet engine: [Apache Tomcat/9.0.83]
09-03 20:47:26.493 |  INFO | 16520 |            main | o.a.c.c.C.[Tomcat].[localhost].[/]      :173  | Initializing Spring embedded WebApplicationContext
09-03 20:47:26.493 |  INFO | 16520 |            main | w.s.c.ServletWebServerApplicationContext:292  | Root WebApplicationContext: initialization completed in 326 ms
09-03 20:47:26.619 |  INFO | 16520 |            main | o.a.coyote.http11.Http11NioProtocol     :173  | Starting ProtocolHandler ["http-nio-8080"]
09-03 20:47:26.627 |  INFO | 16520 |            main | o.s.b.w.embedded.tomcat.TomcatWebServer :220  | Tomcat started on port(s): 8080 (http) with context path ''
09-03 20:47:26.630 |  INFO | 16520 |            main | com.example.elkdemo.ElKdemoApplication  :61   | Started ElKdemoApplication in 0.667 seconds (JVM running for 0.88)
09-03 20:48:57.814 |  INFO | 23452 |            main | com.example.elkdemo.ElKdemoApplication  :55   | Starting ElKdemoApplication using Java 17.0.9 on X with PID 23452 (E:\Java\ELKdemo\target\classes started by 14665 in E:\Java\ELKdemo)
09-03 20:48:57.815 |  INFO | 23452 |            main | com.example.elkdemo.ElKdemoApplication  :632  | No active profile set, falling back to 1 default profile: "default"
09-03 20:48:58.123 |  INFO | 23452 |            main | o.s.b.w.embedded.tomcat.TomcatWebServer :108  | Tomcat initialized with port(s): 8080 (http)
09-03 20:48:58.169 |  INFO | 23452 |            main | w.s.c.ServletWebServerApplicationContext:292  | Root WebApplicationContext: initialization completed in 332 ms
09-03 20:48:58.303 |  INFO | 23452 |            main | o.s.b.w.embedded.tomcat.TomcatWebServer :220  | Tomcat started on port(s): 8080 (http) with context path ''
09-03 20:48:58.308 |  INFO | 23452 |            main | com.example.elkdemo.ElKdemoApplication  :61   | Started ElKdemoApplication in 0.661 seconds (JVM running for 0.869)
09-03 20:49:29.887 |  INFO | 23452 | nio-8080-exec-1 | o.s.web.servlet.DispatcherServlet       :525  | Initializing Servlet 'dispatcherServlet'
09-03 20:49:29.887 |  INFO | 23452 | nio-8080-exec-1 | o.s.web.servlet.DispatcherServlet       :547  | Completed initialization in 0 ms
09-03 20:49:29.897 |  INFO | 23452 | nio-8080-exec-1 | c.e.elkdemo.controller.HelloController  :17   | slf4 logger
